Dataset	Language	System	ExperimentURI	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290006	0.1516078366537158	0.27638232301315324	0.11107073643410853	0.28537899213858847	0.23873991148138507	0.31063155974541534	0.346622179490265	2022-09-29 03:44:23
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290007	0.008387650952453135	0.2114559018972316	0.005203761755485894	0.2185923960017077	0.021608956001041395	0.2867147497965255	0.42005756681819906	2022-09-29 04:30:29
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290008	0.0	0.23333333333333334	0.0	0.23333333333333334	0.0	0.23333333333333334	0.3769230769230769	2022-09-29 04:57:34
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290009	0.006693440428380187	0.2636303244146592	0.004504910352283989	0.2713272310238822	0.013017443374121323	0.3180480831298588	0.4650403725991186	2022-09-29 05:15:37
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290010	0.008412197686645636	0.26835986358634917	0.006339981508387267	0.2707636951448219	0.01249674563915647	0.30915919424096994	0.4581190858276872	2022-09-29 05:31:40
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290011	0.0016979239021378404	0.23450450599921344	0.0012066695919262834	0.2340300657907479	0.002863837542306691	0.2633333333333333	0.40614065405454547	2022-09-29 05:48:42
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290012	0.11130237726886455	0.2613426037930295	0.09571637372109583	0.2649994724891793	0.13295158771473192	0.31658360541027586	0.3618598419745525	2022-09-29 05:56:48
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290013	0.011326058201058201	0.20568472793388892	0.009391924316171934	0.20773764463040129	0.014263404476834982	0.2563436427207196	0.39612196757238743	2022-09-29 07:14:00
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290014	0.001854222771621562	0.14770148882225823	0.006102877070619006	0.14684140651586092	0.0010931806350858927	0.1530888030888031	0.2645311647847639	2022-09-29 08:55:14
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290015	0.013472163195920102	0.20397801489316073	0.011382405745062836	0.20559792098916124	0.016501821967725143	0.24351062253475822	0.3822698436792979	2022-09-29 08:55:16
