Test Name	Language	Components	Gold File	Prediction File	Uploaded Gold File	Uploaded Prediction File	Experiment URI	BertScore F1	BLEURT Score	BLEU	BLEU NLTK	METEOR	chrF++	TER	Error Count	Timestamp	GERBIL version
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-nllb_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	bc93ae59b2e34bb8be1ad4d0cd63bd6cQALD10-MT_de-davlan_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130632	0.9453086245	0.1457020409	32.9	0.33	0.39	0.62	0.48	0	2022-10-13 23:24:49	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-mbart_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	8371eb0be2af48e7b8a3017fb2e3be1dQALD10-MT_de-davlan_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130633	0.9448721235	0.1120294532	34.54	0.34	0.39	0.64	0.46	0	2022-10-13 23:24:59	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-libre_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	607a830ad8b04d959c4818c437943938QALD10-MT_de-spacy_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130634	0.9203702021	-0.2654001868	24.96	0.25	0.35	0.55	0.56	0	2022-10-13 23:25:09	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-opus_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	e286b1fd4c2c4cfa89e086a6406c7c20QALD10-MT_de-spacy_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130635	0.9422507882	0.06110373068	33.69	0.34	0.39	0.62	0.47	0	2022-10-13 23:25:20	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-nllb_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	e4aa3d78ddb24fc09b50d05ab8ebeb61QALD10-MT_de-spacy_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130636	0.9427763175	0.07857677323	33.03	0.33	0.38	0.61	0.49	0	2022-10-13 23:25:30	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-mbart_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	fea9c6d458af4dd6815afae94971516eQALD10-MT_de-spacy_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130637	0.9413907023	0.03608689121	33.79	0.34	0.39	0.63	0.48	0	2022-10-13 23:25:40	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-libre_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	6a01d6e3516a4ff79fedb75782f0cb7bQALD10-MT_de-spacy_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130638	0.9231643203	-0.2335126585	24.58	0.24	0.35	0.55	0.56	0	2022-10-13 23:25:50	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-opus_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	1eb34e8b9dbf4ba2abae78a5b33528b0QALD10-MT_de-spacy_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130639	0.9436723174	0.1017774783	33.86	0.34	0.39	0.62	0.46	0	2022-10-13 23:26:00	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-nllb_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	39fa57889c824d07aa2a7083b2cc8dfcQALD10-MT_de-spacy_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130640	0.9421191291	0.09440821682	31.8	0.32	0.38	0.6	0.49	0	2022-10-13 23:26:10	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-mbart_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	5c3c929be4a045d597c508d34d264f5aQALD10-MT_de-spacy_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130641	0.9415135541	0.04575938176	33.6	0.34	0.38	0.62	0.48	0	2022-10-13 23:26:20	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-libre_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	b916f9d81ee948d6b60b495ab9b620f2QALD10-MT_de-no_ner-no_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130642	0.9134547012	-0.1916534169	22.12	0.22	0.35	0.52	0.59	0	2022-10-13 23:26:30	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-opus_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	5015ec81116942a28075bf6bbde7f44aQALD10-MT_de-no_ner-no_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130643	0.9506121394	0.2208311937	35.53	0.35	0.41	0.65	0.43	0	2022-10-13 23:26:40	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-nllb_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	069a7c5763624c8db22da51fdbe0a130QALD10-MT_de-no_ner-no_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130644	0.952819741	0.2881157321	35.4	0.35	0.41	0.64	0.44	0	2022-10-13 23:26:50	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-mbart_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	4483de3d941749d3b345e7884333f95bQALD10-MT_de-no_ner-no_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130645	0.9486800145	0.1785032369	34.98	0.35	0.4	0.64	0.45	0	2022-10-13 23:27:00	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-libre_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	dc29e1af2ee84959a0f6251dc1fa03ceQALD10-MT_ru-babelscape_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130646	0.9156725848	-0.3106727002	20.27	0.2	0.31	0.52	0.6	0	2022-10-13 23:27:11	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-opus_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	6b99a0230bb34aa195d5aba88a2d4592QALD10-MT_ru-babelscape_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130647	0.9280936093	-0.1086687691	23.83	0.24	0.35	0.56	0.57	0	2022-10-13 23:27:21	1.2.7
