Dataset	System	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp	ExperimentURI
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.1516078367	0.276382323	0.1110707364	0.2853789921	0.2387399115	0.3106315597	0.3466221795	2022-09-29 03:44:23	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290006
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.008387650952	0.2114559019	0.005203761755	0.218592396	0.021608956	0.2867147498	0.4200575668	2022-09-29 04:30:29	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290007
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	0	0.2333333333	0	0.2333333333	0	0.2333333333	0.3769230769	2022-09-29 04:57:34	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290008
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.006693440428	0.2636303244	0.004504910352	0.271327231	0.01301744337	0.3180480831	0.4650403726	2022-09-29 05:15:37	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290009
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	0.008412197687	0.2683598636	0.006339981508	0.2707636951	0.01249674564	0.3091591942	0.4581190858	2022-09-29 05:31:40	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290010
QALD9Plus-MT_de-babelscape_ner-mgenre_el-nllb_mt	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.001697923902	0.234504506	0.001206669592	0.2340300658	0.002863837542	0.2633333333	0.4061406541	2022-09-29 05:48:42	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290011
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.1113023773	0.2613426038	0.09571637372	0.2649994725	0.1329515877	0.3165836054	0.361859842	2022-09-29 05:56:48	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290012
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.0113260582	0.2056847279	0.009391924316	0.2077376446	0.01426340448	0.2563436427	0.3961219676	2022-09-29 07:14:00	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290013
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	0.001854222772	0.1477014888	0.006102877071	0.1468414065	0.001093180635	0.1530888031	0.2645311648	2022-09-29 08:55:14	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290014
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.0134721632	0.2039780149	0.01138240575	0.205597921	0.01650182197	0.2435106225	0.3822698437	2022-09-29 08:55:16	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290015
